x,y,f,df_dx,df_dy
-3.141592653589793,-3.141592653589793,1.2246467991473532e-16,1.0,-1.4997597826618576e-32
-3.141592653589793,-3.0133643820146996,1.2145924658549475e-16,0.991790013823246,-1.566043567409789e-17
-3.141592653589793,-2.885136110439606,1.1845945578524248e-16,0.9672948630390295,-3.106372742738319e-17
-3.141592653589793,-2.7569078388645125,1.1351456399598494e-16,0.9269167573460217,-4.595695363511396e-17
-3.141592653589793,-2.628679567289419,1.0670576620419285e-16,0.8713187041233894,-6.009556793470473e-17
-3.141592653589793,-2.500451295714325,9.814486268136802e-17,0.8014136218679565,-7.324741467023932e-17
-3.141592653589793,-2.3722230241392315,8.797242322667634e-17,0.7183493500977275,-8.519654088192263e-17
-3.141592653589793,-2.243994752564138,7.635547901473155e-17,0.6234898018587335,-9.574674224771029e-17
-3.141592653589793,-2.1157664809890444,6.348477994832601e-17,0.518392568310525,-1.0472478475285209e-16
-3.141592653589793,-1.9875382094139509,4.957166255030044e-17,0.40478334312239383,-1.11983249187625e-16
-3.141592653589793,-1.8593099378388573,3.4844579823681524e-17,0.28452758663103256,-1.1740295176668117e-16
-3.141592653589793,-1.7310816662637636,1.9545350059688138e-17,0.15959989503337918,-1.208949011235082e-16
-3.141592653589793,-1.60285339468867,3.9251861880750644e-18,3.205157757165521e-2,-1.2240175954620718e-16
-3.141592653589793,-1.4746251231135765,-1.1759429132228573e-17,-9.602302590768166e-2,-1.2189878446113675e-16
-3.141592653589793,-1.3463968515384828,-2.7250954951288008e-17,-0.22252093395631445,-1.1939423470528823e-16
-3.141592653589793,-1.2181685799633892,-4.229502084344058e-17,-0.3453650544213076,-1.1492923491641064e-16
-3.141592653589793,-1.0899403083882957,-5.664460366265283e-17,-0.4625382902408352,-1.0857710026759582e-16
-3.141592653589793,-0.9617120368132022,-7.006408365574891e-17,-0.5721166601221696,-1.0044213263416301e-16
-3.141592653589793,-0.8334837652381086,-8.233311333224372e-17,-0.6723008902613166,-9.065790795974991e-17
-3.141592653589793,-0.7052554936630151,-9.32502355640449e-17,-0.7614459583691342,-7.938508294301085e-17
-3.141592653589793,-0.5770272220879216,-1.0263619150592637e-16,-0.8380881048918405,-6.680875705906663e-17
-3.141592653589793,-0.4487989505128276,-1.1033686402081121e-16,-0.9009688679024191,-5.313543323124028e-17
-3.141592653589793,-0.32057067893773405,-1.1622580827890157e-16,-0.9490557470106686,-3.858962705876534e-17
